item,event_name,distribution_method,start_date,end_date,region,notes
horseradish,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
houndoominite,2014 Korean World Championship Series Houndoom,,06/07/2014,06/07/2014,Korea,Held by event Houndoom
houndoominite,Second Mega Stone Gift,,12/05/2017,31/10/2017,All,
hp-up,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
hp-up,Summer training support sets,,22/07/2023,30/09/2023,Japan,
hyper-potion,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
hyper-potion,Summer training support sets,,22/07/2023,30/09/2023,Japan,
ice-heal,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
ice-stone,Nintendo newsletter items,,18/11/2024,31/12/2025,All,
ice-stone,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,All,
ice-stone,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
ice-tera-shard,50 Ice Tera Shards,,23/12/2022,25/12/2022,All,
ice-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
ice-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
ice-tera-shard,Shiny Treasures of Ruin Tera Shards,,22/08/2025,30/09/2025,All,
icicle-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,Held by event Arceus
icicle-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Taiwan,Held by event Arceus
icy-rock,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
insect-plate,Dahara City Arceus,,07/03/2015,31/08/2015,"Japan, Taiwan","Also distributed November 20 to December 17, 2015."
iron,Nintendo newsletter items,,18/11/2024,31/12/2025,All,
iron,Summer training support sets,,22/07/2023,30/09/2023,Japan,
iron-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Taiwan,Held by event Arceus
iron-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,Held by event Arceus
jaboca-berry,Pokémon Global Link gift rare Berries,Online,07/01/2019,02/09/2019,All,
jalapeno,Poké Times Sandwich Ingredients,,,,All,
jam,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
lajet-ball,"Ultra, Gigaton and Jet Balls",,27/02/2022,31/03/2022,All,
kangaskhanite,Pokémon Center Battle Championship Kangaskhan,,23/06/2014,06/07/2014,Japan,
kangaskhanite,Pokémon Center Battle Championship Kangaskhan,,26/05/2014,01/06/2014,Japan,
kangaskhanite,Spring 2015 Kangaskhan,,03/04/2015,09/04/2015,Japan/Taiwan,
kasib-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
kebia-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
kings-rock,Korean Invitational King's Rock,Event,05/09/2020,06/09/2020,Korea,
kiwi,Poké Times Sandwich Ingredients,,,,All,December 2022 distribution
klawf-stick,Poké Times Sandwich Ingredients,,,,All,"Distribution period listed as December 12–17 to 18, 2022"
lansat-berry,Nintendo Zone Manaphy,,14/08/2010,12/09/2010,Japan,Held item distribution
lansat-berry,Pokémon Love Manaphy,,12/03/2011,17/04/2011,Korea,Held item distribution
large-leek,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
latiasite,Sixth Mega Stone Gift,,08/09/2017,31/10/2017,All,
latiasite,Weakness Cup Mega Stones,,08/08/2017,29/09/2017,All,
latiosite,7-Eleven Latios,,01/08/2015,30/09/2015,Japan,Held by event Latios
latiosite,Pokémon Center Latios,,31/08/2015,06/09/2015,Japan,Held by event Latios
latiosite,Sixth Mega Stone Gift,,08/09/2017,31/10/2017,All,
latiosite,Weakness Cup Mega Stones,,08/08/2017,29/09/2017,All,
lava-cookie,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
leaf-stone,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,All,
leaf-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
stick,Ash's Sirfetch'd,,09/09/2022,22/09/2022,All,Distributed as a held item.
leftovers,Lotte World Mall battle item set,,29/04/2023,31/05/2023,South Korea,
leftovers,Summer training support sets,,22/07/2023,30/09/2023,Japan,
lemonade,Pokémon Cafe Pikachu,,14/03/2018,22/04/2018,Japan,Held item
lemonade,Refreshment Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
lettuce,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
level-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
level-ball,Global mission items,,16/05/2017,30/06/2017,All,
level-ball,Mega Dimension Luxurious Poké Ball Set,,16/10/2025,10/03/2026,All,
level-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
liberty-pass,Liberty Pass Distribution,Wi-Fi,06/03/2011,27/04/2011,North America,
liberty-pass,Liberty Pass Distribution,Wi-Fi,18/09/2010,18/10/2010,Japan,
liberty-pass,Liberty Pass Distribution,Wi-Fi,04/03/2011,27/04/2011,Europe,
liberty-pass,Liberty Pass Distribution,Wi-Fi,10/03/2011,28/04/2011,Australia,
liberty-pass,Liberty Pass Distribution,Wi-Fi,23/04/2011,29/05/2011,South Korea,
liechi-berry,Berry Program Update Zigzagoon,,29/12/2003,31/03/2004,Japan,Held item on event Zigzagoon
life-orb,Spring Single Tournament Life Orb,,15/05/2021,16/05/2021,All,
light-ball,Cramorant Max Raid Battle items,Event,10/02/2021,28/02/2021,All,
light-clay,Chaiyawat Traiwichcha's Grimmsnarl,,27/07/2023,18/08/2023,All,Distributed as a held item
loaded-dice,Lotte World Mall battle item set,,29/04/2023,31/05/2023,South Korea,
lopunnite,Fifth Mega Stone Gift,,10/08/2017,31/10/2017,All,
lopunnite,tiny tourney Mega Stones,,04/07/2017,31/08/2017,All,
love-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
love-ball,Global mission items,,18/04/2017,31/05/2017,All,
love-ball,Poké Times Valentines Day Items,,14/02/2023,14/03/2023,All,
love-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
love-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
lucarionite,Mega Campaign Lucario,,,,Japan,Distributed as a held item
lucky-egg,Christmas Lucky Egg,,21/12/2013,28/02/2014,Japan,
lum-berry,Summer training support sets,,22/07/2023,30/09/2023,Japan,
lumiose-galette,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
lure-ball,Apricorn Poké Ball Set,,19/11/2021,28/02/2022,All,
lure-ball,Global mission items,,20/06/2017,31/07/2017,All,
lure-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
lure-ball,Pokémon Legends: Z-A – Mega Dimension Luxurious Poké Ball Set,,16/10/2025,10/03/2026,All,
lustrous-orb,Alamos Palkia,,26/08/2022,30/09/2022,Japan,
lustrous-orb,Dahara City Palkia,,20/11/2015,31/01/2016,Korea,
lustrous-orb,Dahara City Palkia,,20/06/2015,31/08/2015,Japan,
luxury-ball,Holiday Luxury Balls,,20/12/2019,30/01/2020,All,
luxury-ball,Variety Ball Sets,,18/11/2022,07/03/2023,Japan,
magmarizer,Pokémon Festa 2006 Magmar,,25/11/2006,31/01/2007,japan,
magmarizer,Spring 2014 Magmar,,,,pal,Various dates
magmarizer,Trade for Evolution! Magmar,,10/10/2010,28/11/2010,japan,
magnet,Pikachu Cafe Electivire,,29/06/2008,29/06/2008,Korea,Held by Electivire
magnet,Strongest Electivire,,15/11/2007,30/11/2007,Japan,Held by Electivire
manectite,2014 Korean World Championship Series Manectric,,05/07/2014,05/07/2014,Korea,Held item distribution
manectite,2017 International Challenge May Mega Stones,,06/06/2017,30/07/2017,All,
manectite,Fourth Mega Stone Gift,,21/07/2017,31/10/2017,All,
marmalade,Poké Times Sandwich Ingredients,,,,All,"Distribution period listed as December 12-17 to 18, 2022."
master-ball,Master Ball,,19/11/2011,03/12/2011,Japan,
master-ball,The Indigo Disk Launch Master Ball,,14/12/2023,03/01/2024,All,
mawilite,2017 International Challenge February Mega Stones,,07/03/2017,27/04/2017,All,
mawilite,First Mega Stone Gift,,07/04/2017,31/10/2017,All,
max-elixir,Pokémon Get Challenge 2024 items,,22/11/2024,31/05/2025,all,
max-potion,Pokémon Smash! Cubchoo,,22/10/2010,29/11/2010,Japan,Distributed as a held item.
max-potion,Summer training support sets,,22/07/2023,30/09/2023,Japan,
max-revive,Dragon King Cup Prizes,,19/01/2014,09/03/2014,Japan,
max-revive,In the Land of Myths item set,,28/01/2023,28/02/2023,Korea,
max-revive,Pokémon Get Challenge 2024 items,,22/11/2024,31/05/2025,All,
max-revive,Pokémon Scrap 2016 items,,28/04/2016,31/08/2016,Japan,
max-revive,Seoul Times Square Max Revive,,17/03/2017,19/03/2017,South Korea,
max-revive,The Great Pokémon Get Operation 2024 items,,22/11/2024,31/05/2025,All,
max-revive,Ultra Sun and Ultra Moon pre-order,,17/11/2017,30/11/2018,,
mayonnaise,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
meadow-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,
meadow-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,
medichamite,First Mega Stone Gift,,07/04/2017,31/10/2017,All,
member-card,Member Card Distribution,Internet,01/04/2022,30/04/2022,Worldwide,
member-card,Member Card Distribution,Wi-Fi,01/12/2008,15/01/2009,Japan,
member-card,Member Card Distribution,Wi-Fi,03/08/2009,13/09/2009,North America,
metagrossite,Steven's Beldum,,21/11/2014,14/01/2015,All,Held by the distributed Beldum
metal-coat,PalCity Lucario,,,,Japan,
metronome,2018 Pokémon World Championships Meloetta,,24/08/2018,26/08/2018,United States,Held item
metronome,Concert Piplup,,22/12/2012,25/12/2012,Korea,Held item
metronome,Recital Piplup,,20/07/2012,09/08/2012,Japan,Held item
mewnium-z--held,Pokémon Bank promotion,,,,,
mewtwonite-x,Mewtwo Mega Stones,,03/03/2017,31/10/2017,All,
mewtwonite-x,Side mission EX2: Project M,,02/12/2025,,All,
mewtwonite-y,Mewtwo Mega Stones,,03/03/2017,31/10/2017,All,
mewtwonite-y,Side mission EX2: Project M,,02/12/2025,,All,
micle-berry,Pokémon Global Link gift rare Berries,,07/01/2019,02/09/2019,All,
mind-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,"Also distributed November 20 to December 17, 2015 in Japan and Taiwan."
misty-seed,Poni Island Shiny Tapu Fini,,21/05/2019,28/06/2019,All,"Also distributed June 11 to July 30, 2019."
moomoo-milk,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
moon-ball,Global mission items,,18/07/2017,31/08/2017,All,
moon-ball,Poké Times rare Poké Balls,,20/12/2019,15/01/2020,All,
moon-stone,November 2024 Nintendo newsletter items,Newsletter,18/11/2024,31/12/2025,All,
muscle-band,Ash's Scraggy,,28/01/2011,10/02/2011,Japanese,Held by event Pokémon
muscle-band,Ash's Scraggy,,28/06/2011,17/07/2011,Korean,Held by event Pokémon
muscle-band,Pokémon Center Tohoku Snivy,,04/12/2011,18/12/2011,Japanese,Held by event Pokémon
muscle-band,Summer training support sets,,22/07/2023,30/09/2023,Japan,
mustard,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
mystic-ticket,Electronic Game Show,,21/10/2005,23/10/2005,Mexico,Distributed in collaboration with Club Nintendo Mexico
mystic-ticket,Nintendo World Store distribution,,14/05/2005,,United States,First United States distribution
mystic-ticket,Pokémon Festa 2004,,17/07/2004,15/08/2004,Japan,First known distribution
mystic-ticket,Pokémon Rocks America 2005,,17/09/2005,22/10/2005,United States,Final United States distribution
mystic-ticket,,,27/12/2006,08/01/2007,Japan,Last known Japanese distribution
mystic-water,Gavin Michaels' Palafin,,14/04/2023,17/04/2023,All,Held by Palafin
mystic-water,Summer Manaphy,,13/07/2018,22/07/2018,South Korea,Held by Manaphy
mythical-pecha-berry,Mochi Mayhem Epilogue Access,Mystery Gift,11/01/2024,,,Can be claimed indefinitely.
net-ball,"Miscellaneous items: Rare Candies, Max Revives and variety ball set",,13/04/2023,02/10/2023,Japan,
net-ball,Variety Ball Sets,,18/11/2022,07/03/2023,Japan,
never-melt-ice,10th Movie Deoxys,,23/06/2007,02/09/2007,Japan,Distributed as a held item.
never-melt-ice,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
noodles,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
noodles,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
normal-gem,Movie Theater Diancie,,29/08/2014,15/10/2014,Taiwan,Held item
normal-gem,Pokémon Center Diancie,,12/12/2015,31/12/2015,Japan,Held item
normal-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
normal-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
nugget,CoroCoro Tamatama Set,,15/12/2017,14/02/2018,japan,
nugget,Pokémon Legends: Arceus strategy guide,,16/04/2022,31/05/2023,all,50 Nuggets
nugget,Pokémon Scrap items,,01/12/2014,15/05/2015,japan,
oaks-letter,Oak's Letter Distribution,Wi-Fi,18/04/2009,11/05/2009,Japan,
oaks-letter,Oak's Letter Distribution,Wi-Fi,28/09/2009,08/11/2009,North America,
oaks-letter,Oak's Letter Gift,Internet,27/02/2022,27/03/2022,Worldwide,
occa-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
old-sea-map,PokéPark Old Sea Map Distribution,,23/06/2006,24/09/2006,Taiwan,Required a Pokémon Download Qualification Certificate distributed with tickets to Lucario and the Mystery of Mew.
old-sea-map,Pokémon Festa / PokéPark Old Sea Map Distribution,,17/07/2005,21/08/2005,Japan,Also distributed at PokéPark in Japan from 2005-09-01 to 2005-09-25.
onion,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
pamtre-berry,Shinsegae Department Store Feebas,,04/07/2009,05/07/2009,Korea,Distributed as a held item on Feebas.
passho-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
payapa-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
peanut-butter,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
peanut-butter,Pokemon Battle Beginner's Manual sandwich ingredients,,22/07/2023,30/09/2023,Japan,
peanut-butter,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
pearl-string,Cramorant Max Raid Battle items,,10/02/2021,28/02/2021,All,
pearl-string,Dragon King Cup Prizes,,19/01/2014,09/03/2014,Japan,
pearl-string,Pokémon Scrap 2017 items,,01/12/2017,30/04/2018,Japan,
pecha-berry,Berry Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
pecha-berry,Powerful Tag Chandelure,,07/05/2012,31/05/2012,Japan,Distributed as a held item.
pepper,A Treasure Journey item set,,21/09/2024,30/11/2024,All,
persim-berry,Berry Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
petaya-berry,2004 Tanabata Jirachi,,01/07/2004,15/08/2004,Japan,
petaya-berry,2005 Tanabata Jirachi,,17/07/2005,21/08/2005,Japan,
pewter-crunchies,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
pickle,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
pidgeotite,Kanto x Alola Regional Rumble Mega Stones,,28/03/2017,27/04/2017,All,
pidgeotite,Second Mega Stone Gift,,12/05/2017,31/10/2017,All,
pineapple,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
pinsirite,2014 Korean World Championship Series Pinsir,,05/07/2014,05/07/2014,Korea,Distributed as a held item
pinsirite,Tough Pokémon Mega Stones,,18/08/2014,17/12/2014,United States,
pixie-plate,Dahara City Arceus,,07/03/2015,31/08/2015,"Japan, Taiwan",Held by distributed Arceus
pixie-plate,Dahara City Arceus,,20/11/2015,17/12/2015,"Japan, Taiwan",Held by distributed Arceus
poison-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
poison-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
poison-tera-shard,Shiny Treasures of Ruin Tera Shards,,08/08/2025,30/09/2025,All,
poke-ball,Pokémon Scarlet and Violet Double Pack Poké Balls,Retail bundle,18/11/2022,,All,
poke-ball,Pokémon Sun and Moon Dual Pack Poké Balls,Retail bundle,18/11/2016,30/11/2017,All,
potato-salad,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
potato-salad,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
potato-tortilla,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
potion,Japan Omega Ruby and Alpha Sapphire Double Pack Potions,,21/11/2014,30/11/2015,Japan,
potion,Pokémon Scarlet and Violet Downloadable Version Adventure Set,,18/11/2022,07/03/2023,All,
pp-max,Pokémon 20th Anniversary Mythical Pokémon,,01/10/2016,24/12/2016,"American, PAL",Held by Keldeo or Meloetta
pp-max,Summer 2012 Keldeo,,,,International,Held item
pp-up,Summer training support sets,,22/07/2023,30/09/2023,Japan,
premier-ball,Japanese 7-11 Onigiri Balls,,18/11/2022,10/01/2023,Japan,
premier-ball,Pokémon Direct Premier Balls,,09/01/2020,27/02/2020,All,
prosciutto,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
prosciutto,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
protein,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
protein,Summer training support sets,,22/07/2023,30/09/2023,Japan,
psychic-seed,Akala Island Shiny Tapu Lele,,18/12/2018,31/01/2019,All,Distributed as a held item
psychic-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
psychic-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
psychic-tera-shard,Shiny Treasures of Ruin Tera Shards,,19/09/2025,30/09/2025,All,
quick-ball,Japan Omega Ruby and Alpha Sapphire Pre-order Quick Balls,,21/11/2014,29/01/2015,Japan,
quick-ball,United Kingdom Quick Balls,,12/10/2013,15/01/2014,United Kingdom,
quick-claw,Slither & Swim Week Zangoose,,07/08/2004,13/08/2004,United States,Held by event Zangoose
rage-candy-bar,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
rare-bone,2019 Pokémon World Championships Aerodactyl,,16/08/2019,18/08/2019,United States,Held item distribution
rare-bone,Pokémon Scrap 2017 items,,01/12/2017,30/04/2018,Japan,
rare-candy,Dragon King Cup Prizes,,19/01/2014,09/03/2014,Japan,
rawst-berry,Berry Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
rawst-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
reaper-cloth,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
red-card,Bullseye Charizard,,01/10/2017,04/02/2018,america,Distributed as a held item
red-onion,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
red-poke-ball-pick,Pokemon Battle Beginner's Manual sandwich ingredients,,22/07/2023,30/09/2023,Japan,
red-scarf,E for All Manaphy,,18/10/2007,21/10/2007,United States,Distributed as a held item on Manaphy
red-scarf,JB Hi-Fi Manaphy,,07/11/2007,13/11/2007,Australia,Distributed as a held item on Manaphy
red-scarf,Nintendo World Store Manaphy,,01/10/2007,31/10/2007,United States,Distributed as a held item on Manaphy
red-scarf,"Toys ""R"" Us Manaphy",,29/09/2007,,United States,Distributed as a held item on Manaphy
relic-gold,PGL Delibird,,25/12/2015,29/02/2016,All,Distributed as a held item
relic-gold,Pokémon Scrap 2017 items,,01/12/2017,30/04/2018,Japan,
repeat-ball,Variety Ball Sets,Serial Code,18/11/2022,07/03/2023,Japan,
revival-herb,Milos Island Thundurus,,16/12/2011,10/01/2012,Japan/Korea,Held item
revival-herb,Milos Island Tornadus,,16/12/2011,10/01/2012,Japan/Korea,Held item
revival-herb,Pokémon Sun and Moon purchase Revival Herbs,,18/11/2016,31/03/2017,Taiwan,
revive,Downloadable Version Adventure Set,,18/11/2022,07/03/2023,All,
revive,North America Walmart promotion,,08/12/2014,30/09/2015,North America,
revive,Pokémon Center Sapporo reopening items,,01/12/2016,31/01/2017,Japan,
revive,Starter Trainer's Pack Revives,,17/11/2017,30/11/2018,North America,
ribbon-sweet,Japan Pokémon Center Birthday Milcery,,01/11/2020,31/01/2022,Japan,Distributed as a held item
ribbon-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,Distributed as a held item
ribbon-sweet,Singapore Pokémon Center Birthday Milcery,,06/11/2020,31/01/2022,Singapore,Distributed as a held item
rice,After School Pokémon Research Club Sandwich Ingredients,,01/12/2022,31/01/2023,All,
rice,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
rindo-berry,Pokémon Adventure Camp Fossil Omanyte,,21/07/2012,30/09/2013,Japan,Held item
rindo-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
rindo-berry,Yamamoto Whiscash,,21/03/2007,09/04/2007,Japan,Held item
rock-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,all,
rock-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,all,
rock-tera-shard,Shiny Treasures of Ruin Tera Shards,,05/09/2025,30/09/2025,all,
rocky-helmet,Ray Yamanaka's Amoonguss,,21/06/2025,30/09/2025,all,Held by event Amoonguss
rocky-helmet,Spooky 2014 Super Size Pumpkaboo,,01/10/2014,31/10/2014,american-pal,Held by event Pumpkaboo
roseli-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
rowap-berry,Pokémon Global Link gift rare Berries,,07/01/2019,02/09/2019,All,
rusted-shield,Arthur's Shiny Zamazenta,,19/11/2021,31/12/2021,South Korea,Distributed as a held item
rusted-shield,Arthur's Shiny Zamazenta,,,,"American, European, Asian, Australian",Distributed as a held item
rusted-sword,Lancer's Shiny Zacian,,19/11/2021,31/12/2021,South Korea,Held by the distributed Zacian
rusted-sword,Lancer's Shiny Zacian,,,,"American, European, Asian, Australian",Held by the distributed Zacian
sablenite,Mega Campaign Sableye,,,,Japan,Distribution period listed as various
sablenite,Shigeki Morimoto's Sableye,,05/08/2015,22/01/2016,PAL,Distributed as a held item
sachet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
sachet,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
sacred-ash,Mount Tensei Ho-Oh,,21/12/2017,31/01/2018,Korea,Held by event Ho-Oh
sacred-ash,Mount Tensei Ho-Oh,,15/07/2017,14/09/2017,Japan,Held by event Ho-Oh
sacred-ash,Pokémon Center Kyoto Ho-Oh,,15/03/2016,08/05/2016,Japan,Held by event Ho-Oh
safari-ball,Japanese Pokemon Scraps 2020,Serial Code,20/11/2020,30/04/2021,Japan,
safari-ball,Pokémon Adventure 25 items,,26/04/2021,30/09/2021,South Korea,
safari-ball,The Hidden Treasure of Area Zero Visual Pokédex's Special Poké Ball Set,,15/03/2024,30/04/2026,All,
safety-goggles,2024 Pokémon World Championships Steenee,,15/08/2024,30/08/2024,All,Held item distribution
safety-goggles,Paul Chua's Arcanine,,30/06/2023,03/07/2023,All,Held item distribution
safety-goggles,Summer training support sets,,22/07/2023,30/09/2023,Japan,
safety-goggles,Wolfe Glick's Incineroar,,13/06/2025,20/06/2025,All,Held item distribution
salac-berry,Pokémon 20th Anniversary Mythical Jirachi,,01/04/2016,24/04/2016,"American, PAL",
salt,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
sceptilite,2017 International Challenge April Mega Stones,,30/05/2017,30/06/2017,All,
sceptilite,Third Mega Stone Gift,,23/06/2017,31/10/2017,All,
scizorite,Pokémon Center Battle Championship Scizor,,19/05/2014,25/05/2014,Japan,Second distribution period ran from 2014-06-23 to 2014-07-06
sea-incense,Red Brick Warehouse Pikachu,,09/08/2014,17/08/2014,Japan,Distributed as a held item
secret-key-sinnoh,Secret Key Distribution,Wi-Fi,08/06/2009,19/07/2009,PAL,
secret-key-sinnoh,Secret Key Distribution,Wi-Fi,06/07/2009,31/08/2009,Korea,
secret-key-sinnoh,Secret Key Distribution,Wi-Fi,28/09/2008,04/11/2008,Japan,Japanese players could share the item with others.
secret-key-sinnoh,Secret Key Distribution,Wi-Fi,20/04/2009,12/05/2009,North America,
shalour-sable,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
sharpedonite,2015 World Championships Sharpedo,,21/08/2015,23/08/2015,United States,Distributed as a held item
sharpedonite,Archie's Sharpedo,,,,Japan,Various distribution periods
shell-bell,Pokémon Center Yokohama Pikachu,,10/10/2008,03/11/2008,Japan,Distributed as a held item
shiny-stone,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
shiny-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,
shuca-berry,Pokémon Adventure Camp Fossil Shieldon,,21/07/2012,30/09/2013,japan,Held item
silk-scarf,Jeong Sang-yoon's Porygon-Z,,21/08/2021,22/08/2021,All,Held item
silk-scarf,Kiyo Eevee,,13/07/2013,01/09/2013,Japan,Held item
silver-leaf,Pokémon Stamp Rapidash,,01/08/1998,31/08/1998,Japan,Held item on distributed Rapidash; appears when traded to Generation II.
silver-powder,Winter 2013 Scizor,,27/11/2013,30/06/2014,American,Held item distribution
sitrus-berry,Summer training support sets,,22/07/2023,30/09/2023,Japan,
sky-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,Held by event Arceus
sky-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,Held by event Arceus
slowbronite,Mega Campaign Slowbro,,,,Japan,Distributed as a held item
smoke-ball,Alexander Hoopa,,03/10/2016,09/10/2016,america,Held item
smoke-ball,Team Rocket Meowth,,07/12/2012,10/01/2013,japan,Held item
smoke-ball,Team Rocket Meowth,,10/05/2013,09/06/2013,korea,Held item
smoke-poke-tail,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
smoked-fillet,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
snowball,Pokémon Center Alolan Vulpix items,,13/02/2017,13/05/2017,Japan,
soda-pop,Refreshment Set,,18/11/2022,07/03/2023,"United Kingdom, Taiwan",
soothe-bell,Luxury Balls and Soothe Bell,,18/11/2022,07/03/2023,"United Kingdom, Hong Kong, Taiwan",
soothe-bell,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,,
soul-dew,Alto Mare Latias,,11/08/2022,30/09/2022,Japan,Distributed as a held item.
spicy-herba-mystica,Sweet or Spicy Herba Mystica,,18/10/2023,30/09/2024,All,
splash-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,
splash-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,
spooky-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,Held by event Arceus
spooky-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,Held by event Arceus
sport-ball,Japanese Pokémon Scraps 2020,,20/11/2020,30/04/2021,Japan,
sport-ball,Pokémon Adventure 25 items,,26/04/2021,30/09/2021,South Korea,
sport-ball,The Hidden Treasure of Area Zero Visual Pokédex Special Poké Ball Set,,15/03/2024,30/04/2026,All,
star-piece,"Grit Pebbles, Rare Candies and Star Pieces",,04/03/2022,31/03/2022,All,
star-piece,Poké Times Wish Items,,10/01/2023,15/01/2023,All,
